date;uah_usd
31/01/2000;5,4755
29/02/2000;5,4975
31/03/2000;5,4276
30/04/2000;5,4003
31/05/2000;5,4144
30/06/2000;5,4378
31/07/2000;5,4387
31/08/2000;5,4385
30/09/2000;5,4397
31/10/2000;5,4369
30/11/2000;5,4367
31/12/2000;5,4345
31/01/2001;5,4306
28/02/2001;5,4288
31/03/2001;5,4192
30/04/2001;5,4158
31/05/2001;5,4152
30/06/2001;5,3828
31/07/2001;5,3535
31/08/2001;5,3404
30/09/2001;5,3311
31/10/2001;5,2937
30/11/2001;5,2831
31/12/2001;5,2985
31/01/2002;5,321
28/02/2002;5,3215
31/03/2002;5,322
30/04/2002;5,327
31/05/2002;5,3293
30/06/2002;5,3288
31/07/2002;5,329
31/08/2002;5,3293
30/09/2002;5,3295
31/10/2002;5,3302
30/11/2002;5,3312
31/12/2002;5,3324
31/01/2003;5,3329
28/02/2003;5,3345
31/03/2003;5,3345
30/04/2003;5,3337
31/05/2003;5,333
30/06/2003;5,3328
31/07/2003;5,3318
31/08/2003;5,3315
30/09/2003;5,3315
31/10/2003;5,3319
30/11/2003;5,332
31/12/2003;5,3315
31/01/2004;5,3311
29/02/2004;5,3299
31/03/2004;5,3293
30/04/2004;5,3287
31/05/2004;5,325
30/06/2004;5,3207
31/07/2004;5,316
31/08/2004;5,3116
30/09/2004;5,3077
31/10/2004;5,3065
30/11/2004;5,3062
31/12/2004;5,3054
31/01/2005;5,3039
28/02/2005;5,299
31/03/2005;5,2808
30/04/2005;5,05
31/05/2005;5,05
30/06/2005;5,055
31/07/2005;5,05
31/08/2005;5,05
30/09/2005;5,05
31/10/2005;5,05
30/11/2005;5,05
31/12/2005;5,05
31/01/2006;5,05
28/02/2006;5,05
31/03/2006;5,05
30/04/2006;5,05
31/05/2006;5,05
30/06/2006;5,05
31/07/2006;5,05
31/08/2006;5,05
30/09/2006;5,05
31/10/2006;5,05
30/11/2006;5,05
31/12/2006;5,05
31/01/2007;5,05
28/02/2007;5,05
31/03/2007;5,05
30/04/2007;5,05
31/05/2007;5,05
30/06/2007;5,05
31/07/2007;5,05
31/08/2007;5,05
30/09/2007;5,05
31/10/2007;5,05
30/11/2007;5,05
31/12/2007;5,05
31/01/2008;5,05
29/02/2008;5,05
31/03/2008;5,05
30/04/2008;5,05
31/05/2008;4,852
30/06/2008;4,8489
31/07/2008;4,8451
31/08/2008;4,8457
30/09/2008;4,861
31/10/2008;5,7604
30/11/2008;6,7418
31/12/2008;7,7
31/01/2009;7,7
28/02/2009;7,7
31/03/2009;7,7
30/04/2009;7,7
31/05/2009;7,6188
30/06/2009;7,6303
31/07/2009;7,698
31/08/2009;7,989
30/09/2009;8,01
31/10/2009;8
30/11/2009;7,9809
31/12/2009;7,985
31/01/2010;8,0012
28/02/2010;7,99
31/03/2010;7,925
30/04/2010;7,9259
31/05/2010;7,9251
30/06/2010;7,907
31/07/2010;7,8932
31/08/2010;7,8861
30/09/2010;7,9135
31/10/2010;7,9116
30/11/2010;7,938
31/12/2010;7,9617
31/01/2011;7,94
28/02/2011;7,9307
31/03/2011;7,96
30/04/2011;7,9654
31/05/2011;7,9706
30/06/2011;7,9723
31/07/2011;7,9712
31/08/2011;7,9707
30/09/2011;7,9727
31/10/2011;7,977
30/11/2011;7,9897
31/12/2011;7,9898
31/01/2012;7,9897
29/02/2012;7,9867
31/03/2012;7,9867
30/04/2012;7,9899
31/05/2012;7,9925
30/06/2012;7,9925
31/07/2012;7,993
31/08/2012;7,993
30/09/2012;7,993
31/10/2012;7,993
30/11/2012;7,993
31/12/2012;7,993
31/01/2013;7,993
28/02/2013;7,993
31/03/2013;7,993
30/04/2013;7,993
31/05/2013;7,993
30/06/2013;7,993
31/07/2013;7,993
