,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
AT,0.08732307406831177,0.1135159180664568,0.13968422204315714,0.1425666792575267,0.0055757135017388245,0.036386479581685345
BE,0.057701488728624385,0.09745314115061898,0.10298873309314993,0.034941259072704144,0.23023311502063992,0.2075497633763793
DE,0.06727490066063328,0.059311595295151405,0.05040331712561697,0.13545440345006285,0.029772891109719937,0.038743028711495237
ES,0.13252429674001204,0.09253290186021056,0.050783825238256586,0.10162478261451971,0.08510118459535561,0.0392156862745098
FI,0.04943035478661585,0.10144089123789342,0.12462852406051757,0.09617356064045916,0.11917438593165984,0.24554857716970058
FR,0.07225884719031055,0.06934649664450498,0.10666000915748111,0.060737828635327604,0.10180219509123513,0.1591821427824997
GR,0.12819947365155943,0.08106188989556268,0.048290678841250254,0.08603374434841242,0.13792590248246694,0.07764244458641313
IE,0.051204591714714406,0.07206179380345108,0.08405597630040916,0.07007531239763398,0.052599620667397914,0.010028080797237172
IT,0.13397362234238586,0.050582501713534664,0.08517577634224385,0.05016990315425347,0.0,0.03200602224803492
NL,0.09100244344238108,0.08266861204737108,0.09532540987127182,0.08335453789405409,0.12556010968810033,0.10808142596975494
PT,0.06517720667497992,0.05168094936079934,0.04973972506304258,0.036855261050196736,0.04678881219789206,0.029635923934492058
UA,0.06392969999947144,0.12834330892444495,0.06226380286360305,0.10201272748484913,0.06546606971379347,0.015980424567797767
