REF_AREA,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
AT,0.10137697452749783,0.12816898365287474,0.12816317814566144,0.15775708900665125,0.0,0.03962016165264516
BE,0.10788689678553313,0.04570912627130843,0.09048717206637596,0.04224899317070521,0.23774389938863988,0.16913308013932643
DE,0.09486327919672492,0.0510300810395621,0.053873031502842374,0.11187234658684261,0.022054380007981652,0.09406495624298403
ES,0.0666266209953902,0.1060773455439195,0.0592514091127305,0.07517455426875012,0.14377094487598543,0.07174959172702859
FI,0.04370913208904329,0.09306927740255494,0.12619839150878195,0.18760491968896448,0.13491509438984348,0.14233956418827828
FR,0.06269439651356315,0.11951569646378538,0.14938712972341636,0.0989976357807299,0.08584349843075748,0.11666974847855371
GR,0.0941619703504243,0.05651323349011461,0.061889535194513255,0.03612015693654715,0.14335168267382598,0.0674689510157525
IE,0.03490291476871977,0.1004403276871268,0.0967739326670649,0.061576275470763865,0.06397885238780165,0.0
IT,0.14177992404928882,0.07666610572766397,0.08828104967781197,0.0629476940771078,0.0,0.08921260446262276
NL,0.1655163733260392,0.12648015699836396,0.07836445547221053,0.1287414726088678,0.14524878299005828,0.09445904053186271
PT,0.08648151739777535,0.09632966572272558,0.06733071492859072,0.03695886240406976,0.02309286485510616,0.11528230156094584
