date,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,UA
2000-01-01,1.4,0.3,1.7,2.9,2.3,1.7,2.3,4.5,2.2,1.6,1.9,
2000-02-01,1.9,2.1,1.7,3.0,2.7,1.4,2.6,4.6,2.4,1.5,1.6,
2000-03-01,1.9,2.5,1.4,3.0,3.2,1.6,2.8,5.0,2.5,1.6,1.4,
2000-04-01,1.8,2.3,1.0,3.0,2.5,1.3,2.1,5.1,2.4,1.7,1.9,
2000-05-01,1.6,2.4,0.8,3.2,2.7,1.5,2.6,5.1,2.5,2.0,2.4,
2000-06-01,2.4,3.0,1.4,3.5,3.1,1.8,2.2,5.4,2.8,2.5,2.8,
2000-07-01,1.9,1.7,1.3,3.7,2.9,1.9,2.6,5.9,2.8,2.8,3.3,
2000-08-01,1.9,3.5,1.0,3.6,2.9,2.0,2.9,5.7,2.8,2.5,3.6,
2000-09-01,2.3,4.0,1.5,3.7,3.4,2.3,3.0,5.5,2.8,2.9,3.6,
2000-10-01,2.2,3.7,1.5,4.0,3.4,2.1,3.8,5.9,2.7,3.2,3.7,
2000-11-01,2.3,3.7,1.4,4.1,3.3,2.3,4.0,5.9,2.9,2.9,3.6,
2000-12-01,1.8,3.0,2.2,4.0,2.9,1.8,3.7,4.7,2.7,2.9,3.8,25.815994260555343
2001-01-01,2.3,2.7,1.3,2.9,2.9,1.3,3.2,3.9,2.5,4.6,4.4,22.087221964114434
2001-02-01,1.8,2.5,1.8,2.7,2.7,1.5,3.4,4.0,1.5,5.0,4.8,18.896171632041714
2001-03-01,1.9,2.2,1.8,3.0,2.5,1.5,3.2,4.1,2.2,5.0,5.1,17.26426339395486
2001-04-01,2.6,2.9,2.2,3.6,2.9,2.0,3.7,4.2,3.0,5.4,4.6,17.033655206356112
2001-05-01,2.9,3.2,2.9,3.8,3.3,2.4,3.9,4.2,2.8,5.5,4.9,15.08500472789569
2001-06-01,2.6,3.0,2.4,3.7,3.0,2.2,4.5,4.3,2.8,5.1,4.6,11.644662252905613
