,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
AT,0.07276922839025982,0.09459659838871401,0.09145990729016241,0.1188055660479389,0.0051110707099272555,0.025773756370360456
BE,0.04808457394052032,0.08121095095884916,0.06743309904908627,0.02911771589392012,0.21104702210225326,0.14701441572493532
DE,0.056062417217194405,0.04942632941262617,0.0330021719274873,0.11287866954171905,0.02729181685057661,0.02744297867064246
ES,0.11043691395001003,0.07711075155017547,0.03325131414409658,0.08468731884543308,0.07800941921240931,0.027777777777777776
FI,0.04119196232217988,0.08453407603157785,0.08160200980152936,0.0801446338670493,0.10924318710402152,0.17393024216187125
FR,0.06021570599192546,0.057788747203754154,0.06983691075787453,0.05061485719610634,0.09331867883363221,0.11275401780427062
GR,0.10683289470963285,0.0675515749129689,0.03161889686034243,0.07169478695701036,0.12643207727559472,0.054996731582042636
IE,0.04267049309559534,0.06005149483620923,0.05503665114907743,0.05839609366469498,0.04821631894511475,0.007103223898042996
IT,0.11164468528532155,0.04215208476127889,0.05576985355742157,0.04180825262854456,0.0,0.022670932425691404
NL,0.07583536953531757,0.0688905100394759,0.062415446939523216,0.06946211491171174,0.11509676721409197,0.07655767672857641
PT,0.054314338895816605,0.04306745780066611,0.032567677124611207,0.030712717541830612,0.042889744514734394,0.020992112786931874
UA,0.05327474999955953,0.10695275743703746,0.040767966160692476,0.08501060623737428,0.06001056390431068,0.011319467402190085
