country,nonzero_months,share_nonzero_months,first_nonzero,last_nonzero,avg_weight_when_nonzero,avg_weight_full_sample
FI,76,0.25249169435215946,2001-01,2025-12,0.33046294501154694,0.08343914890656999
FR,75,0.24916943521594684,2001-02,2025-12,0.278951088038697,0.069506085059476
AT,72,0.23920265780730898,2001-01,2025-02,0.3261242581157193,0.0780097893167169
NL,65,0.2159468438538206,2002-01,2025-12,0.3246657256051768,0.07011053875194849
ES,65,0.2159468438538206,2001-02,2025-08,0.3221488681013609,0.06956703131756964
IT,65,0.2159468438538206,2001-01,2025-12,0.2775091764654812,0.05992723079819361
BE,63,0.20930232558139536,2001-01,2025-10,0.38848664656884624,0.0813111585841771
IE,59,0.19601328903654486,2001-02,2025-10,0.2438390635455969,0.047795696841163506
GR,58,0.19269102990033224,2001-02,2025-12,0.35586143907225837,0.0685713071966478
DE,57,0.1893687707641196,2001-03,2025-10,0.26263332514906834,0.04973454994517241
PT,53,0.1760797342192691,2002-01,2025-10,0.2169931045896232,0.038208088183554915
UA,31,0.10299003322259136,2001-04,2024-05,0.6267623195077968,0.06455027210877641
