REF_AREA,I_2002_2007,II_2008_2012,III_2013_2019,IV_2020_2021,V_2022_2023,VI_2024_2025
AT,0.09292889331687301,0.10680748637739561,0.1129056569378446,0.13146424083887606,0.0,0.028064281170623654
BE,0.09889632205340537,0.03809093855942369,0.07971488967752169,0.03520749430892101,0.2080259119650599,0.11980259843202289
DE,0.08695800593033118,0.04252506753296841,0.04745957537155162,0.09322695548903552,0.019297582506983945,0.06662934400544702
ES,0.06107440257910768,0.08839778795326625,0.052197669932643534,0.0626454618906251,0.12579957676648726,0.05082262747331192
FI,0.04006670441495635,0.07755773116879579,0.1111747734720222,0.15633743307413708,0.11805070759111304,0.10082385796669711
FR,0.05746986347076623,0.09959641371982114,0.13160294761348584,0.08249802981727491,0.0751130611269128,0.08264107183897555
GR,0.08631513948788894,0.047094361241762174,0.054521733385642625,0.030100130780455963,0.12543272233959774,0.04779050696949135
IE,0.031994338537993126,0.08370027307260566,0.08525322639717621,0.05131356289230322,0.055981495839326455,0.0
IT,0.12996493037851475,0.06388842143971998,0.07777140090664389,0.05245641173092317,0.0,0.06319226149435779
NL,0.15172334221553593,0.10540013083196996,0.06903535363028071,0.10728456050738984,0.12709268511630098,0.06690848704340276
PT,0.07927472428129406,0.08027472143560464,0.05931515362756802,0.030799052003391465,0.020206256748217893,0.0816582969390033
